strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
SouthKorea/KCDC2036/2020	EPI_ISL_497957	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2037/2020	EPI_ISL_497958	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2193/2020	EPI_ISL_506987	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2043/2020	EPI_ISL_471449	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2083/2020	EPI_ISL_497984	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2084/2020	EPI_ISL_497985	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC31-NCCP43342/2020	EPI_ISL_812962	"Division of Pathogen Resource Management, Korea National Institute of Health, Korea Disease Control and Prevention Agency"		Kim et al																	
Uganda/UG033/2020	EPI_ISL_737953	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Moldova/ChVir7770/2020	EPI_ISL_523962	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A		United Kingdom															
Finland/11A36S7/2020	EPI_ISL_481533	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A																	
Finland/11A52S7/2020	EPI_ISL_1218648	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A																	
Vietnam/PIHCM-503/2020	EPI_ISL_654883	Department of Microbiology and Immunology - Pasteur Institute in Ho Chi Minh city		Nguyễn Thanh Long et al																	
Poland/Pom1/2020	EPI_ISL_428209	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
Norway/1379/2020	EPI_ISL_417483	Norwegian Institute of Public Health		Kathrine Stene-Johansen et al		Italy															
Jordan/SR-051/2020	EPI_ISL_430008	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Jordan/SR-037/2020	EPI_ISL_429997	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Jordan/SR-056/2020	EPI_ISL_430014	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Norway/CS-24/2020	EPI_ISL_666604	"Dept. of Microbiology and Infection Control, Akershus University Hospital HF"		Hege Vangstein Aamot et al																	
Jordan/SR-0333/2020	EPI_ISL_450186	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Jordan/SR-0338/2020	EPI_ISL_450189	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Cambodia/2004/2020	EPI_ISL_956388	"Virology Unit, Institut Pasteur du Cambodge"		Vireak Heang et al																	
Kenya/D6/2020	EPI_ISL_458000	Centre For Biotechnology Research and Development		Matoke-Muhia et al																	
Argentina/PAIS-B0003/2020	EPI_ISL_792399	Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Gravis et al																	
Brazil/ES-FIOCRUZ-225/2020	EPI_ISL_415128	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al B (https://dx.doi.org/10.1101/2020.06.17.158006)																	
Nigeria/OG007-CV22/2020	EPI_ISL_455412	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)																	
Nigeria/ED03-CV157/2020	EPI_ISL_527875	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/ED07-CV160/2020	EPI_ISL_527878	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Jamaica/JM-CDC-0869/2020	EPI_ISL_450793	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Yan Li et al																	
Jamaica/JM-CDC-6365/2020	EPI_ISL_450796	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Yan Li et al																	
Jamaica/JM-CDC-5836/2020	EPI_ISL_450795	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Yan Li et al																	
Aruba/AW-RIVM-10101/2020	EPI_ISL_547445	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
Aruba/AW-RIVM-10122/2020	EPI_ISL_547449	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
SouthKorea/A6/2020	EPI_ISL_485390	University of Ulsan College of Medicine and Asan Medical Center		Kuenyoul Park et al																	
SouthKorea/S5/2020	EPI_ISL_485396	University of Ulsan College of Medicine and Asan Medical Center		Kuenyoul Park et al																	
SouthKorea/A5/2020	EPI_ISL_485389	University of Ulsan College of Medicine and Asan Medical Center		Kuenyoul Park et al																	
SouthKorea/KCDC2197/2020	EPI_ISL_506991	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
Greece/53/2020	EPI_ISL_434466	"Laboratory of Biology, Department of Medicine, Democritus University of Thrace"		Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)																	
Nigeria/LA-CV262/2020	EPI_ISL_729946	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
SouthKorea/S4/2020	EPI_ISL_485395	University of Ulsan College of Medicine and Asan Medical Center		Kuenyoul Park et al																	
Greece/52_37266/2020	EPI_ISL_437910	"Laboratory of Biology, Department of Medicine, Democritus University of Thrace"		Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)																	
Jordan/SR-084/2020	EPI_ISL_434516	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Nigeria/OS016-CV3/2020	EPI_ISL_455413	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)																	
Ghana/2230_S4/2020	EPI_ISL_422390	"WACCBIP, University of Ghana"		Joyce M. Ngoi et al																	
Nigeria/ED02-CV156/2020	EPI_ISL_527874	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Ireland/D-NVRL-71IRL15701/2020	EPI_ISL_500592	National Virus Reference Laboratory		Michael Carr et al																	
Nigeria/OY045A-CV35/2020	EPI_ISL_455431	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)																	
Poland/PL_MCB_13/2020	EPI_ISL_645012	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_7/2020	EPI_ISL_645006	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_43/2020	EPI_ISL_645042	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_5/2020	EPI_ISL_645004	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_38/2020	EPI_ISL_645037	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_37/2020	EPI_ISL_645036	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_78/2020	EPI_ISL_645077	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_8/2020	EPI_ISL_645007	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_10/2020	EPI_ISL_645009	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Poland/PL_MCB_9/2020	EPI_ISL_645008	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al																	
Switzerland/ZH-UZH-1000477102/2020	EPI_ISL_413019	"Institute of Medical Virology, University of Zurich"		Stefan Schmutz et al A																	
HongKong/HKU-200723-037/2020	EPI_ISL_497804	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al																	
SouthKorea/KCDC2148/2020	EPI_ISL_498049	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
Luxembourg/LNS0591129/2020	EPI_ISL_419565	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg														
Malaysia/5056/2020	EPI_ISL_501211	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al																	
SouthKorea/IHC1215/2020	EPI_ISL_540998	Health and Environmental Research Institute of Gwangju Metropolitan city		Min Ji Kim et al																	
SouthKorea/IHC1217/2020	EPI_ISL_540999	Health and Environmental Research Institute of Gwangju Metropolitan city		Min Ji Kim et al																	
Timor-Leste/TL25/2020	EPI_ISL_456600	"Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity"		Soares da Silva et al																	
Jordan/SR-053/2020	EPI_ISL_430011	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Palestine/22/2020	EPI_ISL_596509	Molecular Genetics Lab		Nouar Qutob et al																	
Jordan/SR-035/2020	EPI_ISL_429995	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Jordan/SR-042/2020	EPI_ISL_430000	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al																	
Taiwan/NCKUH-014/2020	EPI_ISL_493207	"Virology Lab,Department of Pathology, National Cheng Kung University Hospital"		Huey-Pin Tsai et al																	
Israel/990300724/2020	EPI_ISL_447265	Stern Lab		Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)																	
Israel/n14291/2020	EPI_ISL_483719	Israel Central Virology laboratory		Neta Zuckerman et al																	
Israel/13077840/2020	EPI_ISL_447423	Stern Lab		Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)																	
Israel/CVL-n-7224/2020	EPI_ISL_474989	Israel Central Virology laboratory		Neta Zuckerman et al																	
Brazil/RJ-FIOCRUZ-1595/2020	EPI_ISL_467346	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al B (https://dx.doi.org/10.1101/2020.06.17.158006)																	
England/20102087902/2020	EPI_ISL_417215	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
Poland/1111112/2020	EPI_ISL_450529	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Thailand/SI204487-NT/2020	EPI_ISL_437611	Faculty of Medicine		Rodpan et al																	
Brazil/RJ-FIOCRUZ-1555/2020	EPI_ISL_467344	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al B (https://dx.doi.org/10.1101/2020.06.17.158006)																	
Brazil/RJ-00336/2020	EPI_ISL_623139	Bioinformatics Laboratory / LNCC		Carolina M Voloch et al																	
HongKong/HKU-200723-029/2020	EPI_ISL_497796	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al																	
Luxembourg/LNS7841004/2020	EPI_ISL_428940	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al																	
Ireland/D-20G31679/2020	EPI_ISL_848120	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway		Kate Reddington et al																	
Ireland/D-NVRL-MPS20970/2020	EPI_ISL_767762	Irish Coronavirus Sequencing Consortium - Teagasc Moorepark		Calum Walsh et al																	
Taiwan/NTU06/2020	EPI_ISL_422409	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A		Europe															
Brazil/RJ-0254/2020	EPI_ISL_470622	Bioinformatics Laboratory / LNCC		Alexandra Gerber et al (https://dx.doi.org/10.1126/science.abd2161)																	
Singapore/52cul/2020	EPI_ISL_574480	"National Public Health Laboratory, National Centre for Infectious Diseases"		Tze Minn Mak et al																	
Brazil/RJ-00333/2020	EPI_ISL_623136	Bioinformatics Laboratory / LNCC		Carolina M Voloch et al																	
Brazil/RJ-00334/2020	EPI_ISL_623137	Bioinformatics Laboratory / LNCC		Carolina M Voloch et al																	
Slovenia/4815/2020	EPI_ISL_635208	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Samo Zakotnik et al																	
Ukraine/203100357/2020	EPI_ISL_512636	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
USA/WA-UW197/2020	EPI_ISL_417346	UW Virology Lab		Pavitra Roychoudhury et al A (https://doi.dx.org/10.1101/2020.04.02.20051417)																	
Lithuania/KL-LUHS-Eilnr59/2020	EPI_ISL_603095	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/KL-LUHS-Eilnr58/2020	EPI_ISL_603120	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
SriLanka/COV486/2020	EPI_ISL_428673	Centre for Dengue Research		Chandima Jeewandara et al A (https://dx.doi.org/10.21203/rs.3.rs-44134/v1)																	
Uganda/UG036/2020	EPI_ISL_737956	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Uganda/UG038/2020	EPI_ISL_737958	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Cambodia/5401/2020	EPI_ISL_956400	"Virology Unit, Institut Pasteur du Cambodge"		Vireak Heang et al																	
England/20099069904/2020	EPI_ISL_464216	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
England/20099070104/2020	EPI_ISL_464217	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
Brazil/SP-02/2020	EPI_ISL_413016	"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory"		Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409)		Europe															
Brazil/un-SP02cc/2020	EPI_ISL_450506	"Clinical Laboratory, Hospital Israelita Albert Einstein"		Malta et al																	
Taiwan/NCKUH-002/2020	EPI_ISL_493198	"Virology Lab,Department of Pathology, National Cheng Kung University Hospital"		Huey-Pin Tsai et al																	
England/20098007304/2020	EPI_ISL_464191	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
England/200990006/2020	EPI_ISL_414011	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
Norway/CS-21/2020	EPI_ISL_666601	"Dept. of Microbiology and Infection Control, Akershus University Hospital HF"		Hege Vangstein Aamot et al																	
England/CAMB-8473C/2020	EPI_ISL_440499	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Luke W Meredith et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
Luxembourg/LNS4780904/2020	EPI_ISL_434509	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al																	
NewZealand/20VR3209/2020	EPI_ISL_579494	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
Palestine/32/2020	EPI_ISL_596517	Molecular Genetics Lab		Nouar Qutob et al																	
BosniaandHerzegovina/ChVir7340/2020	EPI_ISL_462450	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Oman/RESP-20-6081/2020	EPI_ISL_457995	Oman-NIC		Samira Al-Maruqi et al																	
Uganda/UG037/2020	EPI_ISL_737957	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al																	
Netherlands/ZuidHolland_142/2020	EPI_ISL_461315	Erasmus Medical Center		Bas Oude Munnink et al																	
Switzerland/GR-ETHZ-100007/2020	EPI_ISL_466932	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Luxembourg/LNS0641910/2020	EPI_ISL_419566	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg														
NewZealand/20VR1798/2020	EPI_ISL_456257	Institute of Environmental Science and Research (ESR)		Matt Storey et al B																	
Spain/CT-ISCIII-202045/2020	EPI_ISL_539550	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Jamaica/JM-CDC-0078/2020	EPI_ISL_450792	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Krista Queen et al B																	
Singapore/216/2020	EPI_ISL_462334	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Singapore/280/2020	EPI_ISL_462398	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Luxembourg/LNS1870254/2020	EPI_ISL_419572	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg														
Netherlands/NA_57/2020	EPI_ISL_422818	Erasmus Medical Center		Bas Oude Munnink et al																	
Austria/CeMM0403/2020	EPI_ISL_475838	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
Ireland/D-NVRL-24042/2020	EPI_ISL_418583	UCD National Virus Reference Laboratory		Michael Carr et al																	
Netherlands/NA_14/2020	EPI_ISL_415470	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)																	
Netherlands/NA_74/2020	EPI_ISL_422834	Erasmus Medical Center		Bas Oude Munnink et al																	
Switzerland/ZH-UZH-IMV3/2020	EPI_ISL_590825	"Institute of Medical Virology, University of Zurich"		Marie O. Pohl et al																	
Germany/HH-hpi-p1443/2020	EPI_ISL_775962	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al																	
Austria/Graz-MUG17/2020	EPI_ISL_437303	"Diagnostic- and Research Institute of Pathology, Medical University of Graz"		Karl Kashofer et al B (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)																	
USA/NY-WCM-0615-1-P/2020	EPI_ISL_855238	"Institute for Computational Biomedicine, Weill Cornell Medicine"		Butler et al																	
Netherlands/NA_55/2020	EPI_ISL_422816	Erasmus Medical Center		Bas Oude Munnink et al																	
Australia/VIC152/2020	EPI_ISL_419849	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Germany/BE-ChVir1897/2020	EPI_ISL_729482	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
SouthKorea/KCDC2132/2020	EPI_ISL_498033	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
Ireland/G-20G31487/2020	EPI_ISL_848110	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway		Kate Reddington et al																	
Netherlands/NB-RIVM-10305/2020	EPI_ISL_636552	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
Switzerland/GR-ETHZ-100013/2020	EPI_ISL_466938	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Luxembourg/LNS0945359/2020	EPI_ISL_419569	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg														
Austria/CeMM0005/2020	EPI_ISL_419658	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)																	
Spain/PV-IBV-003200/2020	EPI_ISL_480972	SeqCOVID-SPAIN consortium/IBV(CSIC)		Gustavo Cilla et al			San Sebastian														
Belgium/rega-03131155/2020	EPI_ISL_738207	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wilsele														
Thailand/Bangkok-CONI-0128/2020	EPI_ISL_455922	COVID-19 Network Investigations (CONI) Alliance		Elizabeth Batty et al A																	
Netherlands/NA_85/2020	EPI_ISL_422845	Erasmus Medical Center		Bas Oude Munnink et al																	
Switzerland/GE-SNRCI-7895/2020	EPI_ISL_548206	Swiss National Reference Centre for Influenza		LAUBSCHER F. et al																	
Chile/RM-ISPCH-24/2020	EPI_ISL_445303	Instituto de Salud Publica de Chile		Andrés E Castillo et al																	
Finland/16MS3D6/2020	EPI_ISL_1219698	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A																	
Norway/2052/2020	EPI_ISL_420148	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Switzerland/SG-ETHZ-110055/2020	EPI_ISL_486486	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Germany/BW-FR0172/2020	EPI_ISL_852730	"Institute of Virology, Clinial Virus Genomics, Medical Center, University of Freiburg, Freiburg, Germany"		Jonas Fuchs et al			Freiburg														
Greece/144/2020	EPI_ISL_434483	"Laboratory of Biology, Department of Medicine, Democritus University of Thrace"		Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)																	
Netherlands/NA_129/2020	EPI_ISL_422673	Erasmus Medical Center		Bas Oude Munnink et al																	
Austria/CeMM0075/2020	EPI_ISL_475768	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://dx.doi.org/10.1101/2020.07.15.204339v1)			Ischgl														
Belgium/ITM-C5182/2020	EPI_ISL_582127	Institute of Tropical Medicine		Philippe Selhorst et al			Edegem														
Austria/CeMM0919/2020	EPI_ISL_583771	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
France/NAQ-SC207/2020	EPI_ISL_649961	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Bordeaux														
Netherlands/NA_34/2020	EPI_ISL_415491	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)																	
Australia/VIC70/2020	EPI_ISL_419786	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Taiwan/CGMH-CGU-09/2020	EPI_ISL_417522	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"		Kuo-Chien Tsao et al B (https://dx.doi.org/10.1080/22221751.2020.1782271)																	
Germany/HH-hpi-p2335/2020	EPI_ISL_776447	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al																	
Peru/LIM-INS-150/2020	EPI_ISL_536545	Laboratorio de Infecciones Respiratorias Agudas		Eduardo Juscamayta Lopez et al																	
Argentina/PAIS-A0222/2020	EPI_ISL_792303	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Nabaes Jodar et al A																	
Ireland/D-NVRL-20G44042/2020	EPI_ISL_681919	Irish Coronavirus Sequencing Consortium - Teagasc Moorepark		Paul Cotter et al																	
Ireland/LS-NVRL-20G44005/2020	EPI_ISL_681920	Irish Coronavirus Sequencing Consortium - Teagasc Moorepark		Paul Cotter et al																	
Uruguay/UY-NYUMC863/2020	EPI_ISL_457959	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Uruguay/UY-NYUMC865/2020	EPI_ISL_457961	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al																	
Australia/WA306/2020	EPI_ISL_596849	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al																	
Australia/WA308/2020	EPI_ISL_596851	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al																	
Australia/WA372/2020	EPI_ISL_605849	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al																	
England/LIVE-A5629/2020	EPI_ISL_500134	COVID-19 Genomics UK (COG-UK) Consortium		Sam Haldenby et al																	
Australia/VIC179/2020	EPI_ISL_419876	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Austria/CeMM1046/2020	EPI_ISL_583863	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
Spain/PV-IBV-005156/2020	EPI_ISL_509643	SeqCOVID-SPAIN consortium/IBV(CSIC)		Gustavo Cilla et al			San Sebastian														
Spain/VC-IBV-98005532/2020	EPI_ISL_796130	SeqCOVID-SPAIN consortium/IBV(CSIC)		Mª Isabel Gascón Ros et al			Novelda														
Netherlands/NH-RIVM-10182/2020	EPI_ISL_804394	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
England/LIVE-A84D1/2020	EPI_ISL_517172	COVID-19 Genomics UK (COG-UK) Consortium		Sam Haldenby et al																	
Spain/MD-HLP-LP14-3/2020	EPI_ISL_417975	Hospital Universitario La Paz		Elias Dahdouh et al A (https://dx.doi.org/10.1101/2020.04.20.050039)																	
Belgium/HAA-030953/2020	EPI_ISL_418982	"KU Leuven, Clinical and Epidemiological Virology"		Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)			Oevel														
Netherlands/NA_670/2020	EPI_ISL_461105	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/NA_60/2020	EPI_ISL_422821	Erasmus Medical Center		Bas Oude Munnink et al																	
Denmark/DCGC-1684/2020	EPI_ISL_620144	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Netherlands/NA_48/2020	EPI_ISL_422809	Erasmus Medical Center		Bas Oude Munnink et al																	
