strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Sichuan/SC-NJ-095/2020	EPI_ISL_451344	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
SouthKorea/KCDC2007/2020	EPI_ISL_426169	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
Sichuan/SC-NJ-089/2020	EPI_ISL_451338	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
Lu-an/445/2020	EPI_ISL_1081310	"Microbiology Laboratory,Lu`an Center for Disease Control and Prevention"		Yang Wei et al														
Lu-an/470/2020	EPI_ISL_1081311	"Microbiology Laboratory,Lu`an Center for Disease Control and Prevention"		Yang Wei et al														
England/200690300/2020	EPI_ISL_414042	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
France/ARA-739/2020	EPI_ISL_410486	CNR Virus des Infections Respiratoires - France SUD		Bal et al (https://dx.doi.org/10.1016/j.cmi.2020.03.020)			Contamines											
England/200690306/2020	EPI_ISL_414043	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
Lu-an/339/2020	EPI_ISL_1081195	"Microbiology Laboratory,Lu`an Center for Disease Control and Prevention"		Yang Wei et al														
Singapore/17nan/2020	EPI_ISL_648071	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Singapore/1135/2020	EPI_ISL_648043	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
England/200690756/2020	EPI_ISL_414044	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
England/200690245/2020	EPI_ISL_414041	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
Singapore/35/2020	EPI_ISL_422428	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Taiwan/TSGH-35/2020	EPI_ISL_457726	TSGH-CP molecular lab		Cherng-Lih Perng et al														
HongKong/HKPU60-0802/2020	EPI_ISL_419228	"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"		Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)														
Germany/NW-UKB-X4719/2020	EPI_ISL_983587	"Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany"		Marek Korencak et al et al			Heinsberg											
Finland/20MS4A4/2020	EPI_ISL_757368	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A														
Malaysia/9593/2020	EPI_ISL_501226	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
Germany/NW-UKB-14975/2020	EPI_ISL_983565	"Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany"		Marek Korencak et al et al			Heinsberg											
Peru/LAM-INS-724/2020	EPI_ISL_1111184	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú		Ronnie Gavilan Chavez et al														
Germany/NW-HHU-04/2020	EPI_ISL_414499	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Germany/NW-HHU-10/2020	EPI_ISL_414574	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Germany/NW-HHU-09/2020	EPI_ISL_414509	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Croatia/1761_Dubrovnik/2020	EPI_ISL_454588	"University of Zagreb, Centre for research and knowledge transfer in biotechnology"		Ivan-Christian Kurolt et al														
Austria/CeMM0142/2020	EPI_ISL_583563	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A														
Poland/PL_P1/2020	EPI_ISL_416488	ViroGenetics - BSL3 Laboratory of Virology; Human Genome Variation Research Group & Genomics Centre MCB; Bioinformatics Research Group Department of Virology		Aleksandra Milewska et al														
Norway/2498/2020	EPI_ISL_481210	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Ireland/D-NVRL-AIIDV0328v1/2020	EPI_ISL_644284	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al														
Ireland/D-NVRL-AIIDV0328v2/2020	EPI_ISL_644341	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al														
Germany/NW-HHU-03/2020	EPI_ISL_414498	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Austria/CeMM0002/2020	EPI_ISL_419655	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)														
Germany/NW-HHU-05/2020	EPI_ISL_414504	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Luxembourg/LNS4295690/2020	EPI_ISL_428959	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Germany/NW-UBI-51/2020	EPI_ISL_1181176	Bielefeld University		David Brandt et al														
Germany/NW-HHU-02-1/2020	EPI_ISL_414497	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
Germany/NW-ChVir1683/2020	EPI_ISL_729478	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A														
Germany/NW-HHU-06/2020	EPI_ISL_414505	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)			Heinsberg District											
HongKong/HKU-200723-051/2020	EPI_ISL_497818	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
Bulgaria/15/2020	EPI_ISL_480298	NRL-HIV		Ivan Ivanov et al														
Thailand/Bangkok-CONI-0231/2020	EPI_ISL_512872	COVID-19 Network Investigations (CONI) Alliance		Elizabeth Batty et al A														
Senegal/306/2020	EPI_ISL_420069	Institut Pasteur de Dakar		Ndongo Dia et al														
Sweden/20-08840/2020	EPI_ISL_475557	The Public Health Agency of Sweden		Oskar Karlsson Lindsjo et al														
Germany/BY-MVP-0251/2020	EPI_ISL_466905	"Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich"		Max Muenchhoff et al			Munich											
Peru/LAM-UPCH-0006/2020	EPI_ISL_529067	"Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia"		Pablo Tsukayama et al														
Germany/NW-UKB-14971/2020	EPI_ISL_983514	"Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany"		Marek Korencak et al et al			Heinsberg											
USA/CA-CDC-6/2020	EPI_ISL_410044	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia												
Guangdong/20SF665/2020	EPI_ISL_428469	"School of Public Health, The University of Hong Kong"		Bosheng Li et al														
Beijing/DT-WH01/2020	EPI_ISL_452360	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital		Siyuan Yang et al														
Lu-an/110/2020	EPI_ISL_1069208	"Microbiology Laboratory,Lu`an Center for Disease Control and Prevention"		Yang Wei et al														
SouthKorea/KCDC12/2020	EPI_ISL_412872	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
SouthKorea/KCDC2004/2020	EPI_ISL_426164	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
Spain/MD-HLP-113/2020	EPI_ISL_530042	Hospital Universitario La Paz		María Rodríguez et al														
Curacao/CW-RIVM-10309/2020	EPI_ISL_636493	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Curacao/CW-RIVM-10308/2020	EPI_ISL_636492	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Curacao/CW-RIVM-10093/2020	EPI_ISL_547451	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Curacao/CW-RIVM-10092/2020	EPI_ISL_547450	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Curacao/CW-RIVM-10094/2020	EPI_ISL_547452	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
England/200641094/2020	EPI_ISL_414040	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
SouthKorea/KCDC2005/2020	EPI_ISL_426166	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A														
Wuhan/HB-WH5-239/2020	EPI_ISL_454980	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
Shanghai/SH0119/2020	EPI_ISL_416404	"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"		Shengyue Wang et al														
HongKong/HKPU66-2501/2020	EPI_ISL_419242	"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"		Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)														
HongKong/HKPU57-0702/2020	EPI_ISL_419227	"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"		Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)														
Denmark/DCGC-1042/2020	EPI_ISL_614440	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
HongKong/HKU-200723-072/2020	EPI_ISL_497839	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
Indonesia/JB-EIJK41/2020	EPI_ISL_574612	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Japan/IC-0007/2020	EPI_ISL_591353	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Indonesia/JK-EIJK29/2020	EPI_ISL_766041	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Wuhan/WH-CD/2020	EPI_ISL_1039208	"State Key Laboratory of Agriculture Microbiology, Huazhong Agric Laboratory of Animal Virology, College of Veterinary Medicine"		Yufei Zhang et al														
mouse/Wuhan/LG/2020	EPI_ISL_1039212	"State Key Laboratory of Agriculture Microbiology, Huazhong Agric Laboratory of Animal Virology, College of Veterinary Medicine"		Yufei Zhang et al														
USA/CA-SCCPHD-UC103/2020	EPI_ISL_435582	"Chiu Laboratory, University of California, San Francisco"		Xianding Deng et al A														
Mexico/JAL-InDRE-16/2020	EPI_ISL_455454	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Mendieta-Condado Edgar et al														
Mexico/JAL-InDRE-11/2020	EPI_ISL_455435	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Garces-Ayala Fabiola. Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al														
USA/CA-SCCPHD-UC14/2020	EPI_ISL_417318	"Chiu Laboratory, University of California, San Francisco"		Xianding Deng et al B (https://dx.doi.org/10.1126/science.abb9263)														
Malaysia/UNIMAS-M3851/2020	EPI_ISL_718133	Institute of Health and Community Medicine		David Perera et al														
Malaysia/9886/2020	EPI_ISL_501228	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
Malaysia/UNIMAS-C122/2020	EPI_ISL_718134	Institute of Health and Community Medicine		David Perera et al														
Malaysia/UNIMAS-C121/2020	EPI_ISL_718135	Institute of Health and Community Medicine		David Perera et al														
Malaysia/UNIMAS-0930/2020	EPI_ISL_718147	Institute of Health and Community Medicine		David Perera et al														
Netherlands/Oss_1363500/2020	EPI_ISL_413581	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Oss											
Ecuador/HEE-01/2020	EPI_ISL_417482	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Taiwan/NTU29/2020	EPI_ISL_463007	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A														
Curacao/CW-RIVM-10100/2020	EPI_ISL_547453	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/FL-EMC-28/2020	EPI_ISL_523137	Erasmus Medical Center		Bas Oude Munnink et al														
Belgium/rega-0629702/2020	EPI_ISL_734782	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Puurs											
Norway/1986/2020	EPI_ISL_590915	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Netherlands/un-EMC-747/2020	EPI_ISL_523503	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/Rotterdam_1364040/2020	EPI_ISL_413583	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Rotterdam											
Netherlands/Naarden_1364774/2020	EPI_ISL_413577	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Naarden											
Netherlands/UT-RIVM-10302/2020	EPI_ISL_636511	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/NB-RIVM-10304/2020	EPI_ISL_636506	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/NoordBrabant_77/2020	EPI_ISL_422873	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/NA_370/2020	EPI_ISL_455173	Erasmus Medical Center		Bas Oude Munnink et al														
Iceland/355/2020	EPI_ISL_424379	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Netherlands/NoordBrabant_95/2020	EPI_ISL_422889	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/NA_185/2020	EPI_ISL_422720	Erasmus Medical Center		Bas Oude Munnink et al														
Portugal/PT0436/2020	EPI_ISL_454160	Instituto Nacional de Saude (INSA)		Borges et al et al														
Netherlands/NA_227/2020	EPI_ISL_422762	Erasmus Medical Center		Bas Oude Munnink et al														
Belgium/GGO-0327349/2020	EPI_ISL_462203	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al														
Netherlands/NA_195/2020	EPI_ISL_422730	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/NA_445/2020	EPI_ISL_455247	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/NoordBrabant_10003/2020	EPI_ISL_454752	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/Tilburg_1363354/2020	EPI_ISL_413586	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Tilburg											
Netherlands/Loon_op_zand_1363512/2020	EPI_ISL_413576	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Loon op zand											
Netherlands/NA_666/2020	EPI_ISL_461101	Erasmus Medical Center		Bas Oude Munnink et al														
Slovakia/SK-BMC6/2020	EPI_ISL_417880	"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava"		Monika Slávikova et al														
Switzerland/BS-42216240/2020	EPI_ISL_581669	"University Hospital Basel, Clinical Bacteriology"		Madlen Stange et al														
Netherlands/NA_652/2020	EPI_ISL_461087	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/un-EMC-744/2020	EPI_ISL_523499	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/GE-RIVM-21741/2020	EPI_ISL_1035223	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/NoordBrabant_10045/2020	EPI_ISL_454794	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Netherlands/un-EMC-751/2020	EPI_ISL_523507	Erasmus Medical Center		Bas Oude Munnink et al														
Switzerland/BL-ETHZ-140032/2020	EPI_ISL_476094	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Netherlands/NB-RIVM-10300/2020	EPI_ISL_636504	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
mink/Netherlands/NB-EMC-8-20/2020	EPI_ISL_523116	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-5-13/2020	EPI_ISL_523097	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-18-8/2020	EPI_ISL_523045	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-18-20/2020	EPI_ISL_523044	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-18-14/2020	EPI_ISL_523041	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-18-15/2020	EPI_ISL_523042	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-19-12/2020	EPI_ISL_523048	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-19-19/2020	EPI_ISL_523050	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-19-1/2020	EPI_ISL_523047	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-19-9/2020	EPI_ISL_523051	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-19-15/2020	EPI_ISL_523049	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-28-9/2020	EPI_ISL_577754	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-28-2/2020	EPI_ISL_577750	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-28-3/2020	EPI_ISL_577751	Erasmus Medical Center		OH consortium et al														
mink/Netherlands/NB-EMC-28-7/2020	EPI_ISL_577753	Erasmus Medical Center		OH consortium et al														
Ireland/CO-PHW-2/2020	EPI_ISL_417432	Public Health Wales Microbiology Cardiff		Catherine Dempsey et al														
UnitedArabEmirates/L4184/2020	EPI_ISL_435133	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)														
Japan/PG-1978/2020	EPI_ISL_685584	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Denmark/DCGC-978/2020	EPI_ISL_614437	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/ALAB-SSI-1406/2020	EPI_ISL_437651	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Rasmus Kirkegaard et al														
Denmark/DCGC-968/2020	EPI_ISL_614438	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/DCGC-1758/2020	EPI_ISL_620127	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/ALAB-SSI-1378/2020	EPI_ISL_444849	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Rasmus Kirkegaard et al														
Denmark/DCGC-1685/2020	EPI_ISL_618154	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/ALAB-SSI-794/2020	EPI_ISL_444909	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Rasmus Kirkegaard et al														
Denmark/DCGC-1383/2020	EPI_ISL_622236	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
USA/CA-CDC-2602/2020	EPI_ISL_419554	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al A														
USA/CA-SCCPHD-UC101/2020	EPI_ISL_435580	"Chiu Laboratory, University of California, San Francisco"		Xianding Deng et al A														
Australia/NSW219/2020	EPI_ISL_427643	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Timms V et al (https://www.nature.com/articles/s41591-020-1000-7)														
Australia/NSW08/2020	EPI_ISL_413594	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)														
Australia/NSW10/2020	EPI_ISL_413596	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)														
Indonesia/JK-EIJK33/2020	EPI_ISL_766044	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Indonesia/JK-EIJK-39/2020	EPI_ISL_568690	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Indonesia/JK-EIJK-07/2020	EPI_ISL_467376	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Edison Johar et al														
Iceland/141/2020	EPI_ISL_417792	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)		Switzerland												
CzechRepublic/FNHK-009/2020	EPI_ISL_895744	"Molecular biology division, Institute of Clinical Biochemistry and Diagnostics, Charles University, Faculty of Medicine in Hradec Králové and University Hospital Hradec Králové"		Helena Kovaříková et al														
CzechRepublic/FNHK-00701/2020	EPI_ISL_895811	"Molecular biology division, Institute of Clinical Biochemistry and Diagnostics, Charles University, Faculty of Medicine in Hradec Králové and University Hospital Hradec Králové"		Helena Kovaříková et al														
Iceland/337/2020	EPI_ISL_417666	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)		United Kingdom												
Iceland/276/2020	EPI_ISL_417604	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Iceland/298/2020	EPI_ISL_417627	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Iceland/320/2020	EPI_ISL_417649	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Iceland/299/2020	EPI_ISL_417628	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Iceland/338/2020	EPI_ISL_417667	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)		Austria												
Egypt/CCHE57357-A-36/2020	EPI_ISL_812810	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Uganda/UG013/2020	EPI_ISL_451195	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)														
Turkey/Ankara_GUMV_31394/2020	EPI_ISL_730569	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Turkey/Ankara_GUMV_22790/2020	EPI_ISL_730571	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
CzechRepublic/FNHK-703/2020	EPI_ISL_895812	"Molecular biology division, Institute of Clinical Biochemistry and Diagnostics, Charles University, Faculty of Medicine in Hradec Králové and University Hospital Hradec Králové"		Helena Kovaříková et al														
Egypt/CCHE57357-A-70/2020	EPI_ISL_812840	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Egypt/CCHE57357-A-54/2020	EPI_ISL_812827	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Egypt/CCHE57357-A-55/2020	EPI_ISL_812828	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Austria/Graz-MUG20/2020	EPI_ISL_653916	"Diagnostic- and Research Institute of Pathology, Medical University of Graz"		Karl Kashofer et al A														
Malaysia/IMR_WC1098/2020	EPI_ISL_430442	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah.J et al														
Malaysia/IMR_WC1097/2020	EPI_ISL_430441	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah.J et al														
Taiwan/TSGH-27/2020	EPI_ISL_447253	TSGH-CP molecular lab		Cherng-Lih Perng et al														
Singapore/1172/2020	EPI_ISL_648100	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Singapore/1173/2020	EPI_ISL_648101	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Singapore/1165/2020	EPI_ISL_648093	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Singapore/516/2020	EPI_ISL_479594	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Singapore/316/2020	EPI_ISL_482684	Department of Microbiology		Nurdyana Abdul Rahman et al														
Singapore/538/2020	EPI_ISL_482686	Department of Microbiology		Nurdyana Abdul Rahman et al														
Singapore/318/2020	EPI_ISL_482683	Department of Microbiology		Nurdyana Abdul Rahman et al														
HongKong/HKPU-0297/2020	EPI_ISL_610163	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Siu et al														
Indonesia/JI-ITD-136N/2020	EPI_ISL_529961	"Institute of Tropical Disease, Universitas Airlangga"		Krisnoadi Rahardjo et al														
Netherlands/ZuidHolland_47/2020	EPI_ISL_422918	Erasmus Medical Center		Bas Oude Munnink et al														
Taiwan/CGMH-CGU-22/2020	EPI_ISL_444275	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"		Kuo-Chien Tsao et al A														
SouthAfrica/R02827/2020	EPI_ISL_430297	National Institute for Communicable Diseases of the National Health Laboratory Service		Allam M et al														
Sweden/20-50125/2020	EPI_ISL_429140	The Public Health Agency of Sweden		Martin Sundqvist et al														
Indonesia/JT-EIJK-10/2020	EPI_ISL_568686	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
NewZealand/20CV0291/2020	EPI_ISL_579081	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
Spain/AN-IBV-002003/2020	EPI_ISL_452396	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado et al			Malaga											
